id,subject,prompt,A,B,C,D,E,answer,prompt_ko,A_ko,B_ko,C_ko,D_ko,E_ko
503,us_history,"For what did you throw off the yoke of Britain and call yourselves independent? Was it from a disposi tion fond of change, or to procure new masters ?... This new form of national government . . . will be dangerous to your liberty and happiness. The speaker of the above quotation was most likely a member of which group?",Federalists ,Sons of Liberty ,Democrats ,Antifederalists ,Tories,D,"영국이라는 멍에를 벗어 던지고 독립을 선언한 이유는 무엇이었나요? 변화를 좋아하는 성향 때문이었습니까, 아니면 새로운 주인을 확보하기 위해서였습니까.... 이 새로운 형태의 국가 정부는 . . 여러분의 자유와 행복에 위험할 것입니다. 위의 인용문의 화자는 다음 중 어느 그룹의 구성원일 가능성이 가장 높습니까?",연방주의자,자유의 아들,민주당,반연방주의자,Tories
504,us_history,All the following were New Deal programs EXCEPT:,Civil Works Administration ,Reconstruction Finance Corporation ,National Labor Relations Act ,Farm Security Administration ,Federal Housing Administration,B,다음을 제외하고는 모두 뉴딜 프로그램입니다:,토목 관리,재건 금융 공사,국가 노동 관계법,농장 보안 관리,연방 주택 관리국
505,us_history,Which of the following was a leader of Sioux resist ance in the 1870s?,Chief Joseph ,Geronimo ,Squanto ,Sitting Bull ,Powhatan,D,다음 중 1870년대에 수스 레지스탕스의 지도자였던 사람은 누구입니까?,조셉 수석,제로니모,Squanto,앉아있는 황소,Powhatan
506,us_history,"The eastern half of which present-day state was called ""Indian Territory"" until 1907?",Nebraska ,Kansas ,Oklahoma ,Colorado ,Arizona,C,"1907년까지 현재의 주 동쪽 절반이 ""인도 영토""라고 불렸던 곳은 어디인가요?",네브라스카,Kansas,오클라호마,Colorado,Arizona
507,us_history,Nativists took all the following steps to protest immigration EXCEPT:,committing violence against immigrants ,vandalizing Catholic churches because they were centers of immigrant neighborhoods ,forming a political party to support restrictions on immigration ,lynching immigrants and blaming African Americans for the crimes ,electing many state and local officials who discriminated against immigrants,D,네이티브주의자들은 이민에 항의하기 위해 다음과 같은 모든 조치를 취했습니다:,이민자에 대한 폭력 행위,가톨릭 교회가 이민자 지역의 중심지라는 이유로 기물을 파손하는 행위,이민 제한을 지지하는 정당 결성,이민자를 린치하고 아프리카계 미국인을 범죄의 원인으로 지목하는 것,이민자를 차별한 많은 주 및 지방 공무원을 선출했습니다.
508,us_history,"Before 1800, most immigrants to the United States were",Mexican ,British ,Dutch ,German ,Chinese,B,1800년 이전에 미국으로 이주한 대부분의 이민자는 다음과 같습니다.,멕시코,영어,네덜란드어,독일어,중국어
509,us_history,The United States acquired the last of the territory that would make up the contiguous United States during which decade?,1770s ,1800s ,1840s ,1850s ,1950s,D,미국이 인접한 미국을 구성하는 마지막 영토를 획득한 것은 어느 10년 동안입니까?,1770s,1800s,1840s,1850s,1950s
510,us_history,"Between 1830 and 1860, the majority of European immigrants to the United States were from",France and Hungary ,Belgium and Switzerland ,Italy and Spain ,Ireland and Germany ,Russia and Greece,D,1830년에서 1860년 사이에 미국으로 이주한 유럽 이민자의 대다수는 다음과 같은 국가 출신이었습니다.,프랑스 및 헝가리,벨기에 및 스위스,이탈리아 및 스페인,아일랜드 및 독일,러시아 및 그리스
511,us_history,"Which section of Article VI of the Constitution states that when federal and state laws come into conflict with each other, ultimate authority is given to federal laws?",Eminent domain ,Supremacy clause ,Public domain ,Sovereignty clause ,Elastic clause,B,헌법 제6조 중 연방법과 주법이 서로 충돌할 경우 연방법에 최종적인 권한이 부여된다는 조항은 어느 것인가?,저명한 도메인,우위 조항,공개 도메인,주권 조항,탄력적 조항
512,us_history,The Indian Removal Act of 1830 stated that,all East Indian immigrants were to be deported ,burial grounds would be established for Native Americans killed in conflict with federal troops ,all Native American images would be removed from public display ,Native American tribes living east of the Mississippi River would be relocated ,all government officials of Native American ancestry would be dismissed from their posts,D,1830년 인디언 추방법에는 다음과 같이 명시되어 있습니다.,모든 동인도 이민자들은 추방되어야 했습니다.,연방군과의 충돌로 사망 한 아메리카 원주민을위한 매장지가 설립 될 것입니다.,모든 아메리카 원주민 이미지가 공개 디스플레이에서 삭제됩니다.,미시시피 강 동쪽에 사는 아메리카 원주민 부족이 이주할 것입니다.,아메리카 원주민 혈통의 모든 공무원은 직위에서 해임될 것입니다.
514,us_history,"William Jennings Bryan's ""Cross of Gold"" speech at the Democratic Convention of 1896 proposed which of the following?",That the United States maintain the gold standard ,That a cross of gold be erected on the White House lawn ,That silver be coined to inflate the U.S. currency ,That churches pay income taxes to aid the poor ,That the United States sell gold to foreign investors,C,"1896년 민주당 전당대회에서 윌리엄 제닝스 브라이언의 ""황금의 십자가"" 연설은 다음 중 어느 것을 제안했습니까?",미국이 금본위제를 유지한다는 것,백악관 잔디밭에 금 십자가가 세워지기를 바랍니다.,미국 통화를 부풀리기 위해 은을 주조하는 것,교회가 가난한 사람들을 돕기 위해 소득세를 낸다는 것,미국이 외국인 투자자에게 금을 판매한다는 사실
515,us_history,Cesar Chavez became prominent in the 1960s as,the speaker of the house in Texas ,a bilingual television host in California ,the head of an organization that promoted Hispanic boxers ,the leader of the United Farm Workers ,the first Hispanic mayor of a U.S. city,D,세자르 차베스는 1960년대에 다음과 같이 유명해졌습니다.,텍사스 주 하원의장,캘리포니아의 이중 언어 텔레비전 진행자,히스패닉 복싱 선수를 육성하는 단체의 수장,유나이티드 농장 노동자의 리더,미국 도시 최초의 히스패닉계 시장
516,us_history,The first President of the Independent Republic of Texas was,Sam Houston ,Walter Dallas ,Stephen F. Austin ,Jim Bowie ,Dallas Green,A,텍사스 독립 공화국의 초대 대통령은 다음과 같습니다.,샘 휴스턴,월터 댈러스,스티븐 F. 오스틴,짐 보위,댈러스 그린
517,us_history,All the following innovations were a direct result of the growth of U.S. cities from 1865 to 1900 EXCEPT:,the elevator ,the skyscraper ,the automobile ,trolley cars ,steel frame construction,C,다음의 모든 혁신은 1865년부터 1900년까지 미국 도시의 성장에 따른 직접적인 결과입니다:,엘리베이터,마천루,자동차,트롤리 카,철골 구조
518,us_history,"One of the best ways to cope with (fear), is to turn it around and put it out to others . . . if you are afraid of the dark, you put the audience in a dark theater. I had a great fear of the ocean. This quotation most likely describes which of the following blockbuster American films?",Gone With the Wind ,Star Wars ,Jaws ,The Sound of Music ,The Wizard of Oz,C,(두려움에) 대처하는 가장 좋은 방법 중 하나는 그것을 뒤집어 다른 사람에게 드러내는 것입니다 ... 어둠이 두렵다면 관객을 어두운 극장에 두는 것입니다. 저는 바다에 대한 두려움이 컸습니다. 이 인용문은 다음 중 미국 블록버스터 영화를 가장 잘 묘사한 것은 어느 것입니까?,바람과 함께 사라지다,스타워즈,Jaws,사운드 오브 뮤직,오즈의 마법사
519,us_history,Which of the following made New York the first state to grant women the right to own property?,"The Nineteenth Amendment, 1920 ","The Married Women's Property Act, 1848 ","The Emancipation Proclamation, 1863 ","The Seneca Falls Declaration of Sentiments, 1848 ","The Fourteenth Amendment, 1868",B,다음 중 뉴욕주가 여성에게 재산 소유권을 부여한 최초의 주가 된 것은?,"수정 헌법 제19조, 1920년",1848년 기혼 여성 재산법,"노예 해방 선언, 1863년","세네카 폭포 감정 선언, 1848년","수정헌법 제14조, 1868년"
520,us_history,Which of the following helped make the Second Great Awakening a success?,The growth of Lutheranism ,Early German immigration ,The preaching of Jonathan Edwards ,A decline in Protestant denominations ,"Circuit riders, or itinerant ministers",E,다음 중 2차 대각성 운동이 성공하는 데 도움이 된 것은 무엇인가요?,루터교의 성장,초기 독일 이민,조나단 에드워즈의 설교,개신교 교세 감소,순회 사역자 또는 순회 목회자
521,us_history,Which of the following is a nickname for the gener ation born between 1945 and 1965?,The lost generation ,The beat generation ,The baby boom generation ,The peace generation ,Generation X,C,다음 중 1945년에서 1965년 사이에 태어난 세대를 가리키는 별명은 무엇인가요?,잃어버린 세대,비트 생성,베이비붐 세대,평화 세대,X세대
522,us_history,"Which of the following is a broad program created by Martin Luther King, Jr., to confront the issues of U.S. economic inequalilty and poverty regardless of race.",The Poor People's Campaign ,The March on Washington ,Affirmative action ,Black power ,War on Poverty,A,다음 중 마틴 루터 킹 주니어가 인종에 관계없이 미국의 경제적 불평등과 빈곤 문제에 맞서기 위해 만든 광범위한 프로그램은?,가난한 사람들 캠페인,워싱턴 행진,차별 금지 조치,블랙 파워,빈곤과의 전쟁
523,us_history,Which of the 13 British colonies was founded on the southern frontier of British North America to provide a fresh start for debtors?,South Carolina ,Virginia ,Florida ,Georgia ,North Carolina,D,다음 중 채무자들에게 새로운 출발을 제공하기 위해 영국 북아메리카의 남쪽 국경에 설립된 13개의 영국 식민지는 어디입니까?,사우스 캐롤라이나,Virginia,Florida,조지아,노스 캐롤라이나
524,us_history,Pickett's Charge became the turning point for the Union against the Confederacy in which of the following Civil War battles?,Chancellorsville ,Gettysburg ,Antietam ,Vicksburg ,Second Bull Run,B,다음 중 피켓의 돌격이 남부 동맹에 대항하는 연합의 전환점이 된 남북전쟁 전투는?,챈슬러스빌,게티스버그,안티탐의 경우,Vicksburg,두 번째 불런
525,us_history,During the 1860s and 1870s federal troops repeat edly clashed with Native Americans in which of the following regions?,Northeast ,Great Lakes ,Southeast ,Mississippi Valley ,Great Plains,E,1860년대와 1870년대에 연방군은 다음 중 어느 지역에서 아메리카 원주민과 반복적으로 충돌했습니까?,동북,그레이트 레이크,남동쪽,미시시피 밸리,대평원
526,us_history,Which of the following proposed a 1930s relief program in which money would be taken from the wealthy and given to the poor?,Harold Ickes ,Huey Long ,John Nance Garner ,Alf Landon ,Father Charles Coughlin,B,다음 중 1930년대에 부유층으로부터 돈을 빼앗아 가난한 사람들에게 주는 구호 프로그램을 제안한 것은?,해롤드 익스,휴이 롱,존 낸스 가너,알프 랜든,찰스 코플린 신부
527,us_history,Mary Boykin Chesnut is best known for which of the following?,Writing a diary that documents home life on the plantation during the Civil War ,"Acting as a spy, passing secret troop placements to the Union ",Writing newspaper editorials opposing the Confederacy ,Running for the Senate in 1864 ,Harboring runaway slaves in South Carolina,A,메리 보이킨 체스넛은 다음 중 어떤 것으로 가장 잘 알려져 있습니까?,남북전쟁 당시 농장에서의 가정 생활을 기록한 일기 쓰기,스파이로 활동하며 연합에 비밀 병력 배치를 전달합니다.,남부 동맹에 반대하는 신문 사설 쓰기,1864년 상원의원 선거 출마,사우스 캐롤라이나에서 가출한 노예를 숨겨주다
528,us_history,Which group opposed ratification of the Constitution because its members feared a powerful national government?,Whigs ,Continentalists ,Tories ,Democratic-Republicans ,Antifederalists,E,회원들이 강력한 중앙 정부를 두려워하여 헌법 비준에 반대했던 단체는 어느 것인가?,휘그,대륙주의자,Tories,민주당-공화당,반연방주의자
529,us_history,"Which of the following leaders did NOT sign the Treaty of Versailles, ending World War I?",Woodrow Wilson ,Georges Clemenceau ,Vittorio Orlando ,Henry Cabot Lodge ,David Lloyd George,D,다음 중 1차 세계대전을 종식시킨 베르사유 조약에 서명하지 않은 지도자는?,우드로 윌슨,조지 클레멘소,비토리오 올랜도,헨리 카봇 롯지,데이비드 로이드 조지
530,us_history,The active colonial protest group called Sons of Lib erty first organized in which of the following cities?,Philadelphia ,New York ,Boston ,Williamsburg ,Charleston,C,다음 중 '자유의 아들들'이라는 식민지 저항 단체가 처음 조직된 도시는 어디입니까?,필라델피아,뉴욕,Boston,윌리엄스버그,찰스턴
531,us_history,Powers shared by the federal and state governments are called,concurrent powers ,sovereign powers ,bicameral powers ,reduced powers ,federal powers,A,연방 및 주 정부가 공유하는 권한은 다음과 같습니다.,동시 권한,주권 국가,양원제 권한,힘 감소,연방 권한
532,us_history,The first election in which the Twenty-Sixth Amend ment (allowing 18-year olds to vote) was in effect was held in,1948,1964,1972,1976,1980,C,수정헌법 제26조(18세 투표 허용)가 시행된 첫 선거는 다음과 같이 실시되었습니다.,1948,1964,1972,1976,1980
533,us_history,"The term ""planned obsolescence"" refers to which of the following?",The practice of letting a contract expire ,An urban planning strategy designed to rebuild neighborhoods on a timed schedule ,The business practice of manufacturing products specifically designed to go out of style and be replaced by new models ,A temporary construction site ,The government system for maturing savings bonds,C,"""계획된 노후화""라는 용어는 다음 중 어느 것을 의미하나요?",계약이 만료되도록 내버려 두는 관행,정해진 일정에 따라 지역을 재건하기 위해 고안된 도시 계획 전략,유행이 지나고 새로운 모델로 대체되도록 특별히 설계된 제품을 제조하는 비즈니스 관행,임시 공사 현장,만기 저축 채권 정부 제도
534,us_history,The skyscraper boom in U.S. cities was facilitated by Elisha Otis's development of,the revolving door ,the elevator ,the telephone ,refrigeration ,the lightbulb,B,미국 도시의 초고층 빌딩 붐은 엘리샤 오티스의 개발로 인해 촉진되었습니다.,회전문,엘리베이터,전화,냉장,전구
535,us_history,Which of the following Eastern tribes was NOT a member of the Iroquois League?,Seneca ,Mohawk ,Onondaga ,Delaware ,Cayuga,D,다음 중 이로쿼이 연맹의 회원이 아니었던 동부 부족은 어느 것입니까?,Seneca,모호크,오논다가,델라웨어,Cayuga
536,us_history,"Which prominent U.S. inventor was known as ""the Wizard of Menlo Park""?",Albert Einstein ,Alexander Graham Bell ,Henry Ford ,Tobias Fuller ,Thomas Edison,E,'멘로 파크의 마법사'로 알려진 미국의 저명한 발명가는 누구인가요?,알버트 아인슈타인,알렉산더 그레이엄 벨,헨리 포드,토비아스 풀러,토마스 에디슨
537,us_history,"All the following statements support the theory that the West was developed by big business, big government, and technology EXCEPT:","The government gave away land to anyone who would claim it, live on it, and farm it. ",The railroad companies brought thousands of Chinese immigrants to the West. ,The U.S. Army protected the settlers and evicted Native Americans. ,The railroad made it possible to transport necessary supplies to pioneer farmers in rural areas. ,Farmers had no national association to which they could apply for help.,E,"다음 진술은 모두 서구가 대기업, 정부, 기술에 의해 발전했다는 이론을 뒷받침하지만, 단 한 가지 예외가 있습니다:",정부는 토지를 소유하고 거주하며 농사를 지으려는 모든 사람에게 토지를 나눠주었습니다.,철도 회사는 수천 명의 중국인 이민자를 서부로 데려왔습니다.,미군은 정착민을 보호하고 아메리카 원주민을 쫓아냈습니다.,철도를 통해 농촌 지역의 개척 농부들에게 필요한 물자를 운송할 수 있게 되었습니다.,농부들은 도움을 요청할 수 있는 전국적인 협회가 없었습니다.
538,us_history,"The phrase ""Great White Hope"" refers to which of the following?","Babe Ruth, whose home run hitting restored faith in baseball after the Black Sox scandal of 1919 ",Boston Celtics basketball star Larry Bird ,The women's gymnastics team at the 1980 Olympic Games ,"A white boxer good enough to defeat Jack Johnson, world heavyweight champion in 1908 ",Swedish tennis champion Bjorn Borg,D,"""위대한 하얀 희망""이라는 문구는 다음 중 어느 것을 의미하나요?",1919년 블랙 삭스 스캔들 이후 홈런으로 야구에 대한 믿음을 회복한 베이브 루스,보스턴 셀틱스의 농구 스타 래리 버드,1980년 올림픽 여자 체조 대표팀,1908년 세계 헤비급 챔피언 잭 존슨을 이길 만큼 뛰어난 백인 복서,스웨덴 테니스 챔피언 비욘 보그
539,us_history,All the following factors combined to cause the United States to declare war on Great Britain in 1812 EXCEPT:,U.S. desire to acquire Canada and Florida ,bumbling policies of President James Madison ,impressment of U.S. sailors into the British Navy ,British alliance with and support of Native American tribes ,"U.S. purchase of New France, later called the Louisiana Territory",E,1812년 미국이 영국에 전쟁을 선포한 이유는 다음과 같은 모든 요인이 복합적으로 작용했습니다:,캐나다와 플로리다를 인수하려는 미국의 욕망,제임스 매디슨 대통령의 엉뚱한 정책,영국 해군에 대한 미국 수병들의 인상,영국과 아메리카 원주민 부족의 동맹 및 지원,"미국의 뉴 프랑스 매입, 이후 루이지애나 식민지로 불림"
540,us_history,In 1837 Horace Mann worked for all the following publicschool reforms in Massachusetts EXCEPT:,raising teacher salaries ,pressuring the legislature to increase funding for schools ,opening the nation's first public high schools ,starting teacher training schools ,updating the curriculum,C,1837년 호레이스 만은 매사추세츠주에서 다음과 같은 공립학교 개혁을 위해 일했습니다:,교사 급여 인상,입법부에 학교 지원금 증액을 위한 압력 행사,미국 최초의 공립 고등학교 개교,교사 연수 학교 시작,커리큘럼 업데이트
541,us_history,Some historians date the start of the Civil War to April 1861 when,John Brown led a raid on the federal arsenal at Harpers Ferry ,South Carolina seceded from the United States ,"Confederate forces fired on Fort Sumter, South Carolina ",President Lincoln issued the Emancipation Proclamation ,"Union troops laid siege to Richmond, Virginia",C,일부 역사가들은 남북전쟁이 시작된 시기를 1861년 4월로 보고 있습니다.,존 브라운이 하퍼스 페리의 연방 무기고 급습을 지휘하다,"사우스캐롤라이나, 미국으로부터 분리 독립",사우스 캐롤라이나 주 포트 섬터에서 남부군 발포,링컨 대통령이 노예 해방 선언을 발표합니다.,연합군이 버지니아 주 리치몬드를 포위하다
542,us_history,The primary cause of the market revolution of the early 1800s was,the creation of a national bank ,the building of national roads and canals ,the abandonment of the gold standard ,the development of refrigeration ,the signing of an international trade agreement,B,1800년대 초 시장 혁명의 주요 원인은 다음과 같습니다.,국립 은행 설립,국도 및 운하 건설,금본위제의 포기,냉동 기술의 발전,국제 무역 협정 체결
543,us_history,The Voting Rights Act of 1975 stated which of the following?,Young people between the ages of 18 and 21 had the right to vote. ,People must register with a political party in order to vote. ,Resident aliens could vote in local elections. ,People did not have to reveal which candidates they voted for. ,Voting materials must be made available in a variety of languages.,E,1975년의 투표권 법에 명시된 내용은 다음 중 어느 것인가요?,18세에서 21세 사이의 청소년은 투표권을 가졌습니다.,투표를 하려면 정당에 등록해야 합니다.,거주 외국인은 지방 선거에서 투표할 수 있습니다.,사람들은 자신이 어떤 후보에게 투표했는지 밝히지 않아도 되었습니다.,투표 자료는 다양한 언어로 제공되어야 합니다.
544,us_history,"The party reached out mostly to men, to young, black urban men who were on the streets, who knew that there were no options somewhere in their lives. The speaker of the above quotation most likely is referring to which of the following?",The Black Panther Party ,The civil rights movement ,The Reform Party ,The Urban League ,The Socialist Party,A,"이 파티는 주로 남성, 즉 길거리에 있는 젊은 흑인 도시 남성들에게 다가갔고, 이들은 자신의 삶 어딘가에 선택의 여지가 없다는 것을 알고 있었습니다. 위 인용문의 화자는 다음 중 어느 것을 언급하고 있을 가능성이 가장 높습니까?",블랙 팬서 파티,시민권 운동,개혁당,어반 리그,사회당
545,us_history,Which of the following was NOT a U.S. victory in the Pacific in World War II?,The attack on Guadalcanal ,The Battle of the Coral Sea ,The Battle of the Bulge ,The Battle of Midway ,The Battle of Leyte Gulf,C,다음 중 제2차 세계대전에서 미국이 태평양에서 거둔 승리가 아닌 것은?,과달카날 공격,산호해 전투,벌지 전투,미드웨이 전투,레이테 만 전투
546,us_history,Congress passed the War Powers Act primarily because,Presidents Johnson and Nixon had usurped congressional authority in making war on Vietnam ,the United States had not achieved a clear victory in Vietnam ,the Vietnam War had been unpopular with the voters from the beginning ,Congress believed that only the president should have the power to declare war ,the public wanted to end the military draft and replace it with an all-volunteer army,A,의회가 전쟁 권한법을 통과시킨 주요 이유는 다음과 같습니다.,존슨과 닉슨 대통령은 베트남과의 전쟁에서 의회의 권한을 빼앗았습니다.,미국은 베트남에서 확실한 승리를 거두지 못했습니다.,베트남 전쟁은 처음부터 유권자들에게 인기가 없었습니다.,의회는 대통령만이 전쟁을 선포할 수 있는 권한을 가져야 한다고 믿었습니다.,대중은 징병제를 폐지하고 모든 자원 봉사 군대로 대체하기를 원했습니다.
547,us_history,The U.S. Department of Agriculture was created primarily to assist which of the following?,tenant farmers who were forced off their land during the Dust Bowl era ,former slaves who wanted to acquire homesteads in the West ,miners who fought against unsafe working conditions ,struggling farmers on the Great Plains ,ranchers who wanted to import a healthier breed of cattle,D,미국 농무부는 주로 다음 중 어떤 것을 지원하기 위해 만들어졌나요?,더스트 보울 시대에 땅에서 쫓겨난 소작농들,서부에서 농장을 소유하고 싶어했던 전 노예들,불안전한 작업 환경에 맞서 싸운 광부들,대평원의 고군분투하는 농부들,더 건강한 품종의 소를 수입하고자 하는 목장주들
548,us_history,"The Atlantic Charter, signed by the United States and Great Britain in 1941, stated all the following EXCEPT:",Aggressor nations would be disarmed after the end of the war. ,All nations had the right to choose their own form of government. ,All nations should have equal and free access to international trade. ,The United States and Great Britain would not expand their territory. ,Germany would be split into two nations at the end of the war.,E,1941년 미국과 영국이 서명한 대서양 헌장에는 다음과 같은 내용을 제외하고는 모두 명시되어 있습니다:,침략국은 전쟁이 끝난 후 무장 해제됩니다.,모든 국가는 자신의 정부 형태를 선택할 권리가 있었습니다.,모든 국가는 국제 무역에 평등하고 자유롭게 접근할 수 있어야 합니다.,미국과 영국은 영토를 확장하지 않을 것입니다.,전쟁이 끝나면 독일은 두 개의 국가로 나뉘게 됩니다.
549,us_history,I didn't want to believe it at first-people protest ing against us when we were putting our lives on the line for our country. The speaker of the above quotation is most likely a veteran of the,Korean War ,Vietnam War ,Persian Gulf War ,invasion of Afghanistan ,war in Iraq,B,조국을 위해 목숨을 걸고 싸우는 우리에게 반대하는 사람들이 있다는 말을 처음에는 믿고 싶지 않았습니다. 위 인용문의 화자는 아마도 6.25 전쟁의 참전 용사일 것입니다.,한국 전쟁,베트남 전쟁,페르시아만 전쟁,아프가니스탄 침공,이라크 전쟁
550,us_history,All the following are major photojournalists of the Great Depression EXCEPT:,Margaret Bourke-White ,Walker Evans ,Althea Gibson ,Dorothea Lange ,Gordon Parks,C,다음은 대공황 당시의 주요 포토저널리스트들입니다:,마가렛 버크-화이트,워커 에반스,알테아 깁슨,도로시아 랭,고든 파크스
551,us_history,"The first U.S. school where women and African Americans, as well as men, could earn a four-year college degree was","Oberlin College, Oberlin, Ohio ","Bryn Mawr College, Bryn Mawr, Pennsylvania ","Harvard University, Cambridge, Massachusetts ","Yale University, New Haven, Connecticut ","The University of Pennsylvania, Philadelphia, Pennsylvania",A,남성뿐만 아니라 여성과 아프리카계 미국인이 4년제 대학 학위를 취득할 수 있는 최초의 미국 학교는 다음과 같습니다.,"오벌린 대학, 오하이오주 오벌린","브린 모어 칼리지, 브린 모어, 펜실베이니아주","하버드 대학교, 매사추세츠주 케임브리지","예일 대학교, 뉴헤이븐, 코네티컷주","펜실베니아 대학교, 필라델피아, 펜실베니아"
552,us_history,"Which of the following works of the American the ater explicitly compares McCarthyism to the Puritan ""witch hunts"" of Salem, Massachusetts?",A Man for All Seasons by Robert Bolt ,The Crucibleby Arthur Miller ,Strange Interludeby Eugene O'Neill ,Angels in Americaby Tony Kushner ,Assassins by Stephen Sondheim,B,다음 중 매카시즘을 매사추세츠 주 세일럼의 청교도 '마녀 사냥'과 명시적으로 비교한 미국 작가들의 작품은?,로버트 볼트의 모든 계절을 위한 남자,아서 밀러의 도가니,이상한 막간유진 오닐,엔젤스 인 아메리카비 토니 쿠슈너,스티븐 손드하임의 어쌔신
553,us_history,"Samuel Colt's revolver, which was patented in the United States in 1836, revolutionized armed combat because of which of the following innovations?",It did not have to be taken apart during reloading. ,It could be used as either a firing weapon or a bayonet. ,It had sights along the barrel that improved accuracy. ,It could be fired six times before being reloaded. ,It enabled the soldier to shoot from a greater distance.,D,1836년 미국에서 특허를 받은 사무엘 콜트의 리볼버는 다음 중 어떤 혁신으로 인해 무장 전투에 혁명을 일으켰습니까?,다시 로드하는 동안 분리할 필요가 없습니다.,발사 무기나 총검으로 사용할 수 있습니다.,배럴을 따라 조준경이 있어 정확도가 향상되었습니다.,재장전하기 전에 6번 발사할 수 있습니다.,덕분에 병사는 더 먼 거리에서 사격할 수 있었습니다.
554,us_history,"Which of the following machines, invented in 1793, was primarily responsible for an economic boom in the South?",Eli Whitney's cotton gin ,Robert Fulton's steam engine ,Henry Bessemer's steel converter ,John Deere's tractor ,Edwin L. Drake's oil drill,A,다음 중 1793년에 발명된 기계 중 주로 남부의 경제 호황을 이끈 것은?,일라이 휘트니의 코튼 진,로버트 풀턴의 증기 기관,헨리 베세머의 강철 변환기,존디어 트랙터,에드윈 L. 드레이크의 석유 시추선
555,us_history,The Great Migration took place during which of the following decades?,1920s ,1850s ,1890s ,1960s ,1990s,A,다음 중 어느 시기에 대이동이 일어났는가?,1920s,1850s,1890s,1960s,1990s
556,us_history,The growth of the railroad industry in the 1870s stimulated all the following EXCEPT:,settlement of Western states ,growth in the steel industry ,expansion of markets for trade and sales ,high employment rates ,development of the automobile,E,1870년대 철도 산업의 성장은 다음을 제외한 모든 산업에 활력을 불어넣었습니다:,서부 주 정착,철강 산업의 성장,무역 및 판매 시장 확대,높은 고용률,자동차 개발
557,us_history,"James Madison, Alexander Hamilton, and John Jay were all",members of President George Washington's cabinet ,signers of the Declaration of Independence ,authors of the  Federalist Papers ,prominent Antifederalists ,heroes of Revolutionary War battles,C,"제임스 매디슨, 알렉산더 해밀턴, 존 제이는 모두",조지 워싱턴 대통령 내각 구성원,독립선언서 서명자 수,연방주의 논문의 저자,저명한 반연방주의자,독립 전쟁 전투의 영웅들
558,us_history,All the following characterize the Native American literary tradition EXCEPT:,trickster tales ,creation stories ,fables featuring animal characters ,tales based on the sacred books of Native American religion ,stories passed down orally over generations,D,다음을 제외한 모든 아메리카 원주민 문학 전통의 특징입니다:,트릭스터 이야기,창작 스토리,동물 캐릭터가 등장하는 우화,아메리카 원주민 종교의 신성한 책에 기반한 이야기,여러 세대에 걸쳐 구전으로 전해 내려오는 이야기
559,us_history,During the 1770s punitive Acts of Parliament were aimed primarily at Massachusetts because,Massachusetts's governor was a member of the Sons of Liberty ,Bostonians had provoked the Boston Massacre and had held the Boston Tea Party ,the stamp agent for Massachusetts had been attacked and thrown out of town ,the Massachusetts legislature had abolished slavery throughout the colony ,the people of Massachusetts did not believe in the separation of church and state,B,1770년대 징벌적 의회법이 주로 매사추세츠 주를 겨냥했던 이유는 다음과 같습니다.,매사추세츠 주지사는 자유의 아들 회원이었습니다.,보스턴 시민들은 보스턴 대학살을 일으켰고 보스턴 티 파티를 열었습니다.,매사추세츠의 우표 대리인이 공격을 받아 마을에서 쫓겨났습니다.,매사추세츠 주 의회는 식민지 전체에서 노예제를 폐지했습니다.,매사추세츠 주 주민들은 정교 분리를 믿지 않았습니다.
560,us_history,The main components of Henry Clay's American System were,"a canal, railroads, and lower taxes ","low tariffs, public education, military spending, and agriculture ","a national bank, a protective tariff, and a national transportation system ","trade with Europe, income taxes, and deficit spending ","states' rights, local transportation, and a tax on Southern farmers",C,헨리 클레이의 미국 시스템의 주요 구성 요소는 다음과 같습니다.,"운하, 철도, 낮은 세금","낮은 관세, 공교육, 군사 지출 및 농업","국립 은행, 보호 관세 및 국가 교통 시스템","유럽과의 무역, 소득세 및 적자 지출","주정부의 권리, 지역 교통, 남부 농민에 대한 세금"
561,us_history,All the following were possible motives for President Harry S. Truman using the atomic bomb against Japan EXCEPT:,Japan refused to surrender. ,Truman wanted to dismantle Japan's nuclear facilities. ,the bombing could prevent a costly U.S. land invasion of Japan. ,Truman wished to demonstrate the power of the bomb to the Soviet Union. ,The United States wanted revenge for Japan's attack on Pearl Harbor.,B,해리 S. 트루먼 대통령이 일본에 원폭을 사용한 동기는 다음과 같은 것을 제외하고는 모두 가능합니다:,일본은 항복을 거부했습니다.,트루먼은 일본의 핵 시설 해체를 원했습니다.,폭격으로 미국의 일본 본토 침공을 막을 수 있었습니다.,트루먼은 소련에 폭탄의 위력을 과시하고 싶었습니다.,미국은 일본의 진주만 공격에 대한 복수를 원했습니다.
562,us_history,"As the automobile industry developed, it promoted the growth of all the following EXCEPT:",the asphalt and road-paving industries ,the advertising business ,the oil-refining industry ,the telephone and telegraph industries ,the importation of rubber,D,자동차 산업이 발전하면서 다음을 제외한 모든 산업의 성장을 촉진했습니다:,아스팔트 및 도로 포장 산업,광고 비즈니스,정유 산업,전화 및 전신 산업,고무 수입
